FID,Join_Count,TARGET_FID,objectid,statecode,statename,state_ut,distcode,distname,distarea,totalpopul,totalhh,totpopmale,totpopfema,st_areasha,st_lengths,pointid,grid_code
426,1738,426,453,16,Tripura,STATE,292,North Tripura,2036,693947,152355,352860,341087,1630476600,299065.1315,1690065,26.42379951
427,2054,427,454,16,Tripura,STATE,#N/A,Gomati,0,0,0,0,0,1928770790,318845.51,1926731,36.20140076
428,1856,428,455,16,Tripura,STATE,290,South Tripura,3057,876001,208127,447544,428457,1744106512,343269.1191,2036287,35.15670013
429,2521,429,456,17,Meghalaya,STATE,295,South Garo Hills,1887,142334,24527,73170,69164,2401274928,321704.3501,1388357,21.04710007
430,3176,430,457,17,Meghalaya,STATE,297,Ribhoi,2448,258840,46872,132531,126309,3040034904,447000.8579,1193169,49.3730011
431,3562,431,458,17,Meghalaya,STATE,298,East Khasi Hills,2748,825922,164046,410749,415173,3389929170,385717.137,1336350,34.56909943
432,4964,432,459,17,Meghalaya,STATE,296,West Khasi Hills,5247,383461,64906,193715,189746,4726814692,496767.6452,1280463,19.61000061
433,1730,433,460,17,Meghalaya,STATE,#N/A,South West Khasi Hills,0,0,0,0,0,1649576151,316577.4987,1407792,20.65670013
434,3723,434,461,17,Meghalaya,STATE,293,West Garo Hills,3677,643291,123352,324159,319132,3554731142,374756.1243,1230129,24.49570084
435,6598,435,640,09,Uttar Pradesh,STATE,166,Jhansi,5024,1998603,367779,1057436,941167,6291214974,1039938.286,1248601,59.79079819
436,5885,436,641,09,Uttar Pradesh,STATE,170,Banda,4408,1799410,319963,965876,833534,5609834342,709367.1687,1262694,74.25959778
437,8813,437,642,09,Uttar Pradesh,STATE,200,Sonbhadra,6905,1862559,333174,971344,891215,8332509037,572609.544,1577672,59.67399979
438,6486,438,643,09,Uttar Pradesh,STATE,167,Lalitpur,5039,1221592,222094,641011,580581,6143625330,459655.6757,1491656,51.66109848
439,4382,439,644,09,Uttar Pradesh,STATE,195,Ghazipur,3377,3620268,546664,1855075,1765193,4178335314,421657.5246,1268644,80.9197998
